% Usage, time(24h)
data: 10645504,2022-06-02 22:26:14.767617
data: 10645504,2022-06-02 22:26:15.271589
data: 10645504,2022-06-02 22:26:15.777507
data: 10645504,2022-06-02 22:26:16.284139
data: 10645504,2022-06-02 22:26:16.791208
data: 10645504,2022-06-02 22:26:17.298131
data: 10645504,2022-06-02 22:26:17.805578
data: 10645504,2022-06-02 22:26:18.311706
data: 10645504,2022-06-02 22:26:18.818837
data: 10645504,2022-06-02 22:26:19.325794
data: 10645504,2022-06-02 22:26:19.832843
data: 10645504,2022-06-02 22:26:20.339897
data: 10645504,2022-06-02 22:26:20.846968
data: 10645504,2022-06-02 22:26:21.353882
data: 10645504,2022-06-02 22:26:21.860792
data: 10645504,2022-06-02 22:26:22.367869
data: 10645504,2022-06-02 22:26:22.874872
data: 10645504,2022-06-02 22:26:23.382016
data: 10645504,2022-06-02 22:26:23.889142
data: 10645504,2022-06-02 22:26:24.396077
data: 10645504,2022-06-02 22:26:24.903267
data: 10645504,2022-06-02 22:26:25.410645
data: 10645504,2022-06-02 22:26:25.917869
data: 10645504,2022-06-02 22:26:26.424895
data: 10645504,2022-06-02 22:26:26.931923
data: 10645504,2022-06-02 22:26:27.438705
data: 10645504,2022-06-02 22:26:27.945895
data: 10645504,2022-06-02 22:26:28.453272
data: 10645504,2022-06-02 22:26:28.960530
data: 10645504,2022-06-02 22:26:29.467635
data: 10645504,2022-06-02 22:26:29.974692
data: 10645504,2022-06-02 22:26:30.481674
data: 10645504,2022-06-02 22:26:30.985633
data: 10645504,2022-06-02 22:26:31.500430
data: 10645504,2022-06-02 22:26:32.008695
data: 10645504,2022-06-02 22:26:32.517179
data: 10645504,2022-06-02 22:26:33.025290
data: 10645504,2022-06-02 22:26:33.533349
data: 10645504,2022-06-02 22:26:34.041350
data: 10645504,2022-06-02 22:26:34.549337
data: 10645504,2022-06-02 22:26:35.057294
data: 10645504,2022-06-02 22:26:35.564327
data: 10645504,2022-06-02 22:26:36.072475
data: 10645504,2022-06-02 22:26:36.580184
data: 10645504,2022-06-02 22:26:37.088454
data: 10645504,2022-06-02 22:26:37.596806
data: 10645504,2022-06-02 22:26:38.104957
data: 10645504,2022-06-02 22:26:38.613686
data: 10645504,2022-06-02 22:26:39.122065
data: 10645504,2022-06-02 22:26:39.630248
data: 10645504,2022-06-02 22:26:40.135179
data: 10645504,2022-06-02 22:26:40.642610
data: 10645504,2022-06-02 22:26:41.150696
data: 10645504,2022-06-02 22:26:41.660120
data: 10645504,2022-06-02 22:26:42.168231
data: 10645504,2022-06-02 22:26:42.676533
data: 10645504,2022-06-02 22:26:43.184166
data: 10645504,2022-06-02 22:26:43.692214
data: 10645504,2022-06-02 22:26:44.200349
data: 10645504,2022-06-02 22:26:44.708445
data: 10645504,2022-06-02 22:26:45.216657
data: 10645504,2022-06-02 22:26:45.725157
data: 10645504,2022-06-02 22:26:46.233396
data: 10645504,2022-06-02 22:26:46.741373
data: 10645504,2022-06-02 22:26:47.249687
data: 10645504,2022-06-02 22:26:47.757775
data: 10645504,2022-06-02 22:26:48.265835
data: 10645504,2022-06-02 22:26:48.770929
data: 10645504,2022-06-02 22:26:49.277609
data: 10645504,2022-06-02 22:26:49.784080
data: 10645504,2022-06-02 22:26:50.291284
data: 10645504,2022-06-02 22:26:50.809870
data: 10645504,2022-06-02 22:26:51.319195
data: 10645504,2022-06-02 22:26:51.828575
data: 10645504,2022-06-02 22:26:52.338029
data: 10645504,2022-06-02 22:26:52.847363
data: 10645504,2022-06-02 22:26:53.356760
data: 10645504,2022-06-02 22:26:53.865956
data: 10645504,2022-06-02 22:26:54.375278
data: 10645504,2022-06-02 22:26:54.884650
data: 10645504,2022-06-02 22:26:55.394051
data: 10645504,2022-06-02 22:26:55.903217
data: 10645504,2022-06-02 22:26:56.412232
data: 10645504,2022-06-02 22:26:56.921813
data: 10645504,2022-06-02 22:26:57.431198
data: 10645504,2022-06-02 22:26:57.940368
data: 10645504,2022-06-02 22:26:58.449612
data: 10645504,2022-06-02 22:26:58.958440
data: 10645504,2022-06-02 22:26:59.470152
data: 10645504,2022-06-02 22:26:59.974785
data: 10645504,2022-06-02 22:27:00.483356
data: 10645504,2022-06-02 22:27:00.989927
data: 10645504,2022-06-02 22:27:01.497172
data: 10645504,2022-06-02 22:27:02.001967
data: 10645504,2022-06-02 22:27:02.508126
data: 10645504,2022-06-02 22:27:03.015467
data: 10645504,2022-06-02 22:27:03.522498
data: 10645504,2022-06-02 22:27:04.029515
data: 10645504,2022-06-02 22:27:04.536346
data: 10645504,2022-06-02 22:27:05.044646
data: 10645504,2022-06-02 22:27:05.551933
data: 10645504,2022-06-02 22:27:06.059037
data: 10645504,2022-06-02 22:27:06.565878
data: 10645504,2022-06-02 22:27:07.073589
data: 10645504,2022-06-02 22:27:07.580962
data: 10645504,2022-06-02 22:27:08.088537
